plant_curie,plant_name,disease_curie
ncbitaxon:53751,Echinacea purpurea,MONDO:0021666
ncbitaxon:53751,Echinacea purpurea,MONDO:0008162
ncbitaxon:53751,Echinacea purpurea,MONDO:0005441
ncbitaxon:53751,Echinacea purpurea,MONDO:0005709
ncbitaxon:39367,Salvia rosmarinus,MONDO:0020743
ncbitaxon:3345,Pinus monticola,MONDO:0006572
ncbitaxon:63479,Nerium oleander,MONDO:0011382
ncbitaxon:265785,Atractylodes macrocephala,MONDO:0005299
ncbitaxon:39367,Salvia rosmarinus,MONDO:0007256
ncbitaxon:214053,Viola tricolor,MONDO:0005267
ncbitaxon:328782,Costus spicatus,MONDO:0005148
ncbitaxon:43522,Morinda citrifolia,MONDO:0005015
ncbitaxon:3258,Equisetum arvense,MONDO:0005015
ncbitaxon:159037,Clausena lansium,MONDO:0003781
ncbitaxon:159037,Clausena lansium,MONDO:0005790
ncbitaxon:159037,Clausena lansium,MONDO:0005136
ncbitaxon:57940,Potentilla erecta,MONDO:0008617
ncbitaxon:57940,Potentilla erecta,MONDO:0005101
ncbitaxon:71050,Gymnosperma glutinosum,MONDO:0005062
ncbitaxon:71050,Gymnosperma glutinosum,MONDO:0005070
ncbitaxon:34199,Aloe vera,MONDO:0016075
ncbitaxon:82755,Gymnanthemum amygdalinum,MONDO:0005920
ncbitaxon:28542,Gelsemium sempervirens,MONDO:0005070
ncbitaxon:203015,Rhodiola rosea,MONDO:0005379
ncbitaxon:126910,Withania somnifera,MONDO:0005180
ncbitaxon:230192,Solanum lyratum,MONDO:0005070
ncbitaxon:4054,Panax ginseng,MONDO:0005252
ncbitaxon:3972,Viscum album,MONDO:0021100
ncbitaxon:3972,Viscum album,MONDO:0016419
ncbitaxon:283382,Lescuraea mutabilis,MONDO:0004675
ncbitaxon:182917,Oplopanax horridus,MONDO:0005070
ncbitaxon:4068,Gymnema sylvestre,MONDO:0005015
ncbitaxon:35608,Artemisia annua,MONDO:0005715
ncbitaxon:230192,Solanum lyratum,MONDO:0005794
ncbitaxon:261450,Coptis chinensis,MONDO:0007256
ncbitaxon:261450,Coptis chinensis,MONDO:0018902
ncbitaxon:289665,Cissus verticillata,MONDO:0005015
ncbitaxon:265783,Artemisia capillaris,MONDO:0011122
ncbitaxon:265783,Artemisia capillaris,MONDO:0019182
ncbitaxon:50507,Schisandra chinensis,MONDO:0005154
ncbitaxon:555479,Nigella sativa,MONDO:0021040
ncbitaxon:555479,Nigella sativa,MONDO:0015278
ncbitaxon:107821,Barringtonia racemosa,MONDO:0005554
ncbitaxon:4054,Panax ginseng,MONDO:0005001
ncbitaxon:130404,Piper methysticum,MONDO:0005070
ncbitaxon:92921,Silybum marianum,MONDO:0005070
ncbitaxon:313920,Blumea balsamifera,MONDO:0019182
ncbitaxon:313920,Blumea balsamifera,MONDO:0011122
ncbitaxon:413302,Streptocaulon juventas,MONDO:0021117
ncbitaxon:413302,Streptocaulon juventas,MONDO:0008903
ncbitaxon:179182,Cycas micronesica,MONDO:0004976
ncbitaxon:179182,Cycas micronesica,MONDO:0019169
ncbitaxon:3311,Ginkgo biloba,MONDO:0005298
ncbitaxon:3311,Ginkgo biloba,MONDO:0008159
ncbitaxon:200492,Sophora alopecuroides,MONDO:0006525
ncbitaxon:292385,Vitellaria paradoxa,MONDO:0005578
ncbitaxon:3840,Vigna unguiculata subsp. cylindrica,MONDO:0002056
ncbitaxon:166030,Melaleuca glomerata,MONDO:0005722
ncbitaxon:79772,Verbena officinalis,MONDO:0004948
ncbitaxon:4521,Lolium multiflorum,MONDO:0005324
ncbitaxon:76149,Plumbago zeylanica,MONDO:0021040
ncbitaxon:4722,Serenoa repens,MONDO:0001531
ncbitaxon:570485,Diospyros fischeri,MONDO:0005027
ncbitaxon:549619,Warburgia ugandensis,MONDO:0043904
ncbitaxon:263974,Bacopa monnieri,MONDO:0005578
ncbitaxon:34213,Iris ensata,MONDO:0009635
ncbitaxon:66636,Larrea tridentata,MONDO:0005070
ncbitaxon:459145,Pierreodendron africanum,MONDO:0005015
ncbitaxon:50225,Taraxacum officinale,MONDO:0015796
ncbitaxon:32224,Eriobotrya japonica,MONDO:0021187
ncbitaxon:255867,Capraria biflora,MONDO:0005070
ncbitaxon:3311,Ginkgo biloba,MONDO:0005070
ncbitaxon:48106,Centella asiatica,MONDO:0000775
ncbitaxon:285590,Tinospora cordifolia,MONDO:0005109
ncbitaxon:492004,Leptadenia reticulata,MONDO:0007816
ncbitaxon:93784,Kleinhovia hospita,MONDO:0005154
ncbitaxon:58228,Garcinia mangostana,MONDO:0011438
ncbitaxon:41220,Gloriosa superba,MONDO:0005393
ncbitaxon:4054,Panax ginseng,MONDO:0016419
ncbitaxon:4054,Panax ginseng,MONDO:0021100
ncbitaxon:44947,Pontederia crassipes,MONDO:0015766
ncbitaxon:258572,Sericocalyx crispus,MONDO:0005070
ncbitaxon:98373,Dendropanax morbifer,MONDO:0005015
ncbitaxon:263974,Bacopa monnieri,MONDO:0005053
ncbitaxon:263974,Bacopa monnieri,MONDO:0005203
ncbitaxon:3311,Ginkgo biloba,MONDO:0005015
ncbitaxon:13427,Cichorium intybus,MONDO:0001997
ncbitaxon:263974,Bacopa monnieri,MONDO:0005618
ncbitaxon:371650,Albizia lebbeck,MONDO:0005070
ncbitaxon:145754,Malva sylvestris,MONDO:0005015
ncbitaxon:202671,Buchholzia coriacea,MONDO:0005002
ncbitaxon:202671,Buchholzia coriacea,MONDO:0011751
ncbitaxon:202671,Buchholzia coriacea,MONDO:0005554
ncbitaxon:202671,Buchholzia coriacea,MONDO:0005709
ncbitaxon:202671,Buchholzia coriacea,MONDO:0005015
ncbitaxon:53205,Ilex latifolia,MONDO:0005053
ncbitaxon:152366,Stephania hernandifolia,MONDO:0005015
ncbitaxon:126910,Withania somnifera,MONDO:0008903
ncbitaxon:126910,Withania somnifera,MONDO:0021117
ncbitaxon:48032,Carum carvi,MONDO:0005016
ncbitaxon:48032,Carum carvi,MONDO:0005015
ncbitaxon:53751,Echinacea purpurea,MONDO:0011751
ncbitaxon:53751,Echinacea purpurea,MONDO:0005002
ncbitaxon:4465,Acorus calamus,MONDO:0006997
ncbitaxon:4212,Ambrosia artemisiifolia,MONDO:0005324
ncbitaxon:83223,Myrothamnus flabellifolia,MONDO:0004609
ncbitaxon:226208,Salvia miltiorrhiza,MONDO:0024644
ncbitaxon:483143,Biancaea sappan,MONDO:0001517
ncbitaxon:483143,Biancaea sappan,MONDO:0024294
ncbitaxon:483143,Biancaea sappan,MONDO:0018076
ncbitaxon:483143,Biancaea sappan,MONDO:0002280
ncbitaxon:304169,Dioscorea birmanica,MONDO:0021117
ncbitaxon:304169,Dioscorea birmanica,MONDO:0008903
ncbitaxon:47965,Acer truncatum,MONDO:0019182
ncbitaxon:47965,Acer truncatum,MONDO:0011122
ncbitaxon:136217,Curcuma longa,MONDO:0007169
ncbitaxon:136217,Curcuma longa,MONDO:0005311
ncbitaxon:3656,Cucumis melo,MONDO:0016426
ncbitaxon:510735,Crataegus pinnatifida,MONDO:0021187
ncbitaxon:136217,Curcuma longa,MONDO:0011122
ncbitaxon:136217,Curcuma longa,MONDO:0019182
ncbitaxon:58228,Garcinia mangostana,MONDO:0005070
ncbitaxon:58228,Garcinia mangostana,MONDO:0008977
ncbitaxon:173437,Anoectochilus formosanus,MONDO:0005154
ncbitaxon:73753,Melaleuca armillaris,MONDO:0005070
ncbitaxon:159380,Icacina senegalensis,MONDO:0012202
ncbitaxon:159380,Icacina senegalensis,MONDO:0005136
ncbitaxon:555415,Ferula szowitziana,MONDO:0005070
ncbitaxon:85864,Magnolia officinalis,MONDO:0005618
ncbitaxon:210372,Aquilaria sinensis,MONDO:0005070
ncbitaxon:3317,Thuja occidentalis,MONDO:0005070
ncbitaxon:4066,Calotropis gigantea,MONDO:0005070
ncbitaxon:203061,Randia longifolia,MONDO:0043839
ncbitaxon:93611,Dysosma versipellis,MONDO:0010528
ncbitaxon:89151,Musa x paradisiaca,MONDO:0019956
ncbitaxon:260636,Orthosiphon stamineus,MONDO:0005154
ncbitaxon:363216,Sinojackia sarcocarpa,MONDO:0008889
ncbitaxon:458531,Eurycoma longifolia,MONDO:0002146
ncbitaxon:63351,Epimedium koreanum,MONDO:0005298
ncbitaxon:63351,Epimedium koreanum,MONDO:0008159
ncbitaxon:396369,Elephantopus scaber,MONDO:0015459
ncbitaxon:211151,Cyanthillium cinereum,MONDO:0005886
ncbitaxon:4670,Galanthus nivalis,MONDO:0005070
ncbitaxon:442824,Cucumis insignis,MONDO:0025385
ncbitaxon:70371,Limonium sinuatum,MONDO:0006589
ncbitaxon:4054,Panax ginseng,MONDO:0007169
ncbitaxon:4054,Panax ginseng,MONDO:0005311
ncbitaxon:519573,Ptisana smithii,MONDO:0011122
ncbitaxon:145709,Roystonea regia,MONDO:0010811
ncbitaxon:55571,Dioscorea alata,MONDO:0005015
ncbitaxon:217498,Acalypha wilkesiana,MONDO:0005015
ncbitaxon:354527,Zanthoxylum avicennae,MONDO:0007256
ncbitaxon:44586,Panax notoginseng,MONDO:0005311
ncbitaxon:44586,Panax notoginseng,MONDO:0007169
ncbitaxon:3381,Gnetum montanum,MONDO:0005015
ncbitaxon:85232,Morus nigra,MONDO:0005015
ncbitaxon:3712,Brassica oleracea,MONDO:0043839
ncbitaxon:413686,Bauhinia forficata,MONDO:0005015
ncbitaxon:55670,Stevia rebaudiana,MONDO:0018076
ncbitaxon:177100,Caulerpa sedoides,MONDO:0005070
ncbitaxon:175694,Andrographis paniculata,MONDO:0005136
ncbitaxon:175694,Andrographis paniculata,MONDO:0012202
ncbitaxon:119260,Cinnamomum aromaticum,MONDO:0005001
ncbitaxon:473049,Spiraea tomentosa,MONDO:0005618
ncbitaxon:173701,Boswellia sacra,MONDO:0005070
ncbitaxon:63476,Hemidesmus indicus,MONDO:0005578
ncbitaxon:12953,Asimina triloba,MONDO:0005047
ncbitaxon:204144,Ocimum gratissimum,MONDO:0002508
ncbitaxon:56742,Alstroemeria aurea,MONDO:0006556
ncbitaxon:616964,Rubus parkeri,MONDO:0006956
ncbitaxon:3369,Cryptomeria japonica,MONDO:0005648
ncbitaxon:198766,Garcinia xanthochymus,MONDO:0008315
ncbitaxon:198766,Garcinia xanthochymus,MONDO:0023122
ncbitaxon:569774,Anoectochilus roxburghii,MONDO:0005015
ncbitaxon:35938,Robinia pseudoacacia,MONDO:0005053
ncbitaxon:39329,Lavandula angustifolia,MONDO:0005618
ncbitaxon:293060,Phyllanthus amarus,MONDO:0001517
ncbitaxon:293060,Phyllanthus amarus,MONDO:0008171
ncbitaxon:28909,Cynodon dactylon,MONDO:0010940
ncbitaxon:28909,Cynodon dactylon,MONDO:0004979
ncbitaxon:63351,Epimedium koreanum,MONDO:0005070
ncbitaxon:13427,Cichorium intybus,MONDO:0002508
ncbitaxon:124943,Azadirachta indica,MONDO:0005015
ncbitaxon:155022,Terminalia chebula,MONDO:0008171
ncbitaxon:183085,Synedrella nodiflora,MONDO:0005027
ncbitaxon:3972,Viscum album,MONDO:0005015
ncbitaxon:170733,Taraxacum formosanum,MONDO:0005154
ncbitaxon:49555,Ligusticum sinense,MONDO:0005277
ncbitaxon:49555,Ligusticum sinense,MONDO:0008000
ncbitaxon:385388,Camellia oleifera,MONDO:0005070
ncbitaxon:120290,Psidium guajava,MONDO:0005148
